,Date,Open,High,Low,Close,Adj Close,Volume,openUp,openDown,gapUp,gapDown,future_mv,future_cat
10177,2011-06-06,2728.310059,2736.659912,2702.199951,2702.560059,2702.560059,1878150000,0,1,0,1,-0.00037001952895360246,4
10178,2011-06-07,2712.790039,2723.320068,2701.169922,2701.560059,2701.560059,1847300000,1,0,0,0,-0.009690762162692991,4
10179,2011-06-08,2693.689941,2698.080078,2671.090088,2675.379883,2675.379883,2089320000,0,1,0,1,0.0035472472751638287,5
10180,2011-06-09,2678.52002,2696.689941,2670.02002,2684.870117,2684.870117,1704960000,1,0,0,0,-0.015322952398892475,2
10181,2011-06-10,2675.100098,2676.719971,2641.639893,2643.72998,2643.72998,1972000000,0,1,0,0,-0.0015281587115791525,4
10182,2011-06-13,2649.300049,2657.77002,2629.610107,2639.689941,2639.689941,1847050000,1,0,0,0,0.014785838819090267,7
10183,2011-06-14,2662.72998,2685.649902,2662.72998,2678.719971,2678.719971,1701300000,1,0,1,0,-0.017642758672664544,2
10184,2011-06-15,2653.169922,2669.75,2625.860107,2631.459961,2631.459961,1982430000,0,1,0,1,-0.002948937135661767,4
10185,2011-06-16,2631.97998,2642.649902,2599.860107,2623.699951,2623.699951,1958250000,1,0,0,0,-0.0027518280042838584,4
10186,2011-06-17,2646.290039,2648.540039,2608.98999,2616.47998,2616.47998,2393690000,1,0,1,0,0.005037276073482515,5
10187,2011-06-20,2608.050049,2636.550049,2607.73999,2629.659912,2629.659912,1625850000,0,1,0,1,0.021904010376836855,8
10188,2011-06-21,2640.330078,2688.5,2634.040039,2687.26001,2687.26001,1882490000,1,0,1,0,-0.006724347079462503,4
10189,2011-06-22,2677.179932,2693.22998,2668.350098,2669.189941,2669.189941,1617370000,0,1,0,0,0.0065787970838152915,5
10190,2011-06-23,2638.600098,2688.070068,2627.469971,2686.75,2686.75,2060450000,0,1,0,1,-0.012602626593467933,2
10191,2011-06-24,2681.100098,2682.409912,2647.459961,2652.889893,2652.889893,2842870000,0,1,0,0,0.013340220449171873,7
10192,2011-06-27,2653.070068,2697.340088,2647.550049,2688.280029,2688.280029,1710740000,1,0,0,0,0.015262558051016157,7
